datetime,stock_code_equity,exchange_code_equity,product_type_equity,expiry_date_equity,right_equity,strike_price_equity,open_equity,high_equity,low_equity,close_equity,volume_equity,open_interest_equity,count_equity,stock_code_futures,exchange_code_futures,product_type_futures,expiry_date_futures,right_futures,strike_price_futures,open_futures,high_futures,low_futures,close_futures,volume_futures,open_interest_futures,count_futures,call_open_interest,put_open_interest
2022-01-07 09:35:00,NIFTY,NSE,,,,,15687.25,15699.75,15685.2,15691.55,,,23,,,,,,,,,,,,,,,
2022-01-07 09:40:00,NIFTY,NSE,,,,,15690.95,15695.45,15656.1,15656.7,,,24,,,,,,,,,,,,,,,
2022-01-07 09:45:00,NIFTY,NSE,,,,,15656.75,15659.9,15629.45,15637.35,,,25,,,,,,,,,,,,,,,
2022-01-07 09:50:00,NIFTY,NSE,,,,,15636.3,15647.7,15627.05,15647.3,,,26,,,,,,,,,,,,,,,
2022-01-07 09:55:00,NIFTY,NSE,,,,,15647.05,15650.65,15614.0,15616.9,,,27,,,,,,,,,,,,,,,
2022-01-07 10:00:00,NIFTY,NSE,,,,,15614.85,15624.6,15606.5,15623.0,,,28,,,,,,,,,,,,,,,
2022-01-07 10:05:00,NIFTY,NSE,,,,,15622.65,15631.9,15582.65,15582.65,,,29,,,,,,,,,,,,,,,
2022-01-07 10:10:00,NIFTY,NSE,,,,,15585.8,15589.75,15527.75,15547.25,,,30,,,,,,,,,,,,,,,
2022-01-07 10:15:00,NIFTY,NSE,,,,,15547.8,15559.15,15541.45,15552.75,,,31,,,,,,,,,,,,,,,
2022-01-07 10:20:00,NIFTY,NSE,,,,,15552.5,15552.5,15511.85,15536.9,,,32,,,,,,,,,,,,,,,
2022-01-07 10:25:00,NIFTY,NSE,,,,,15537.45,15592.45,15535.0,15584.0,,,33,,,,,,,,,,,,,,,
2022-01-07 10:30:00,NIFTY,NSE,,,,,15583.9,15609.5,15575.1,15603.3,,,34,,,,,,,,,,,,,,,
2022-01-07 10:35:00,NIFTY,NSE,,,,,15603.0,15621.3,15594.3,15607.85,,,35,,,,,,,,,,,,,,,
2022-01-07 10:40:00,NIFTY,NSE,,,,,15607.25,15630.2,15605.8,15615.45,,,36,,,,,,,,,,,,,,,
2022-01-07 10:45:00,NIFTY,NSE,,,,,15615.5,15626.75,15606.85,15611.4,,,37,,,,,,,,,,,,,,,
2022-01-07 10:50:00,NIFTY,NSE,,,,,15610.7,15612.05,15595.1,15605.5,,,38,,,,,,,,,,,,,,,
