datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
26-04-2024 10:25,NIFTY,NFO,Futures,30-May-24,Others,0,22632,22633.9,22628.05,22630,7650,11542725,70
26-04-2024 10:26,NIFTY,NFO,Futures,30-May-24,Others,0,22632,22632,22628.5,22629,5150,11542725,71
26-04-2024 10:27,NIFTY,NFO,Futures,30-May-24,Others,0,22629,22630.3,22615.05,22615.05,28500,11544700,72
26-04-2024 10:28,NIFTY,NFO,Futures,30-May-24,Others,0,22615.05,22624,22612.35,22622.75,21250,11544700,73
26-04-2024 10:29,NIFTY,NFO,Futures,30-May-24,Others,0,22622.8,22636.4,22622.75,22634.8,13550,11544700,74
26-04-2024 10:30,NIFTY,NFO,Futures,30-May-24,Others,0,22634.7,22634.7,22625,22627.45,7050,11531500,75
26-04-2024 10:31,NIFTY,NFO,Futures,30-May-24,Others,0,22627.45,22629.45,22622.75,22629.2,6575,11531500,76
26-04-2024 10:32,NIFTY,NFO,Futures,30-May-24,Others,0,22626.3,22636,22626.3,22632.4,8000,11531500,77
26-04-2024 10:33,NIFTY,NFO,Futures,30-May-24,Others,0,22630,22631.5,22624.3,22625.8,4400,11528450,78
26-04-2024 10:34,NIFTY,NFO,Futures,30-May-24,Others,0,22625,22627.3,22620,22621.1,7275,11528450,79
26-04-2024 10:35,NIFTY,NFO,Futures,30-May-24,Others,0,22620,22627.25,22618,22624.85,7975,11528450,80
26-04-2024 10:36,NIFTY,NFO,Futures,30-May-24,Others,0,22624.6,22624.6,22614.5,22622.2,19425,11529300,81
26-04-2024 10:37,NIFTY,NFO,Futures,30-May-24,Others,0,22622.2,22624.4,22615,22622.5,11725,11529300,82
26-04-2024 10:38,NIFTY,NFO,Futures,30-May-24,Others,0,22622.45,22629.4,22622.4,22629.4,7750,11529300,83
26-04-2024 10:39,NIFTY,NFO,Futures,30-May-24,Others,0,22627.9,22628.4,22614.7,22619.6,13075,11533700,84
26-04-2024 10:40,NIFTY,NFO,Futures,30-May-24,Others,0,22619.3,22627.9,22618,22625,13125,11533700,85
26-04-2024 10:41,NIFTY,NFO,Futures,30-May-24,Others,0,22628.4,22639.15,22628,22635,17525,11533700,86
26-04-2024 10:42,NIFTY,NFO,Futures,30-May-24,Others,0,22634,22635,22627.7,22629,7200,11533200,87
26-04-2024 10:43,NIFTY,NFO,Futures,30-May-24,Others,0,22629.05,22637.55,22627.75,22633.95,7775,11533200,88
26-04-2024 10:44,NIFTY,NFO,Futures,30-May-24,Others,0,22636,22636,22631.4,22634,6150,11533200,89
26-04-2024 10:45,NIFTY,NFO,Futures,30-May-24,Others,0,22633.25,22639.9,22631,22639.9,7900,11534600,90
26-04-2024 10:46,NIFTY,NFO,Futures,30-May-24,Others,0,22642,22642.65,22635.1,22635.1,11275,11534600,91
26-04-2024 10:47,NIFTY,NFO,Futures,30-May-24,Others,0,22635.1,22638.5,22634,22638.2,2800,11534600,92
26-04-2024 10:48,NIFTY,NFO,Futures,30-May-24,Others,0,22636.1,22638.7,22635.55,22638.7,3975,11536350,93
26-04-2024 10:49,NIFTY,NFO,Futures,30-May-24,Others,0,22637.7,22638.95,22632.9,22638.75,8100,11536350,94
26-04-2024 10:50,NIFTY,NFO,Futures,30-May-24,Others,0,22639.05,22639.1,22632,22634.75,5175,11536350,95
26-04-2024 10:51,NIFTY,NFO,Futures,30-May-24,Others,0,22633.15,22641.9,22633.15,22639.9,7175,11544575,96
26-04-2024 10:52,NIFTY,NFO,Futures,30-May-24,Others,0,22638.05,22643,22638.05,22640,6350,11544575,97
26-04-2024 10:53,NIFTY,NFO,Futures,30-May-24,Others,0,22641.95,22647.35,22638.05,22644.65,8650,11544575,98
26-04-2024 10:54,NIFTY,NFO,Futures,30-May-24,Others,0,22644.65,22648.7,22644.6,22646,9175,11548450,99
26-04-2024 10:55,NIFTY,NFO,Futures,30-May-24,Others,0,22645,22651.9,22644.9,22650.15,15050,11548450,100
26-04-2024 10:56,NIFTY,NFO,Futures,30-May-24,Others,0,22646.75,22654.7,22646.05,22651.1,7600,11548450,101
