,datetime,stock_code,exchange_code,product_type,expiry_date,right_call,strike_price,call_open,call_high,call_low,call_close,call_volume,call_open_interest,count,right_put,put_open,put_high,put_low,put_close,put_volume,put_open_interest
56,23-09-2022 09:54,NIFTY,NFO,Options,29-Sep-22,Call,17000,514.85,520.8,506.95,510,6300,638500,39,Put,40.75,42.9,39.55,42.2,207800,5277050
57,23-09-2022 09:55,NIFTY,NFO,Options,29-Sep-22,Call,17000,510.9,515,507.8,515,1300,638500,40,Put,42.45,43.6,40.05,40.25,141500,5277050
58,23-09-2022 09:56,NIFTY,NFO,Options,29-Sep-22,Call,17000,518.9,520,514.5,520,4950,634050,41,Put,40.25,40.5,38.2,38.2,163500,5293350
59,23-09-2022 09:57,NIFTY,NFO,Options,29-Sep-22,Call,17000,521.35,530.7,521.35,526.95,6800,634050,42,Put,38.5,38.5,36.2,36.85,240250,5293350
60,23-09-2022 09:58,NIFTY,NFO,Options,29-Sep-22,Call,17000,527.4,529.2,518.8,528.35,5350,634050,43,Put,37.7,39.35,36.75,37.8,138900,5293350
61,23-09-2022 09:59,NIFTY,NFO,Options,29-Sep-22,Call,17000,528.05,528.05,515.75,520,1400,626150,44,Put,36.95,39.85,36.95,38.7,231700,5322650
62,23-09-2022 10:00,NIFTY,NFO,Options,29-Sep-22,Call,17000,516.6,516.6,502.4,502.4,4200,626150,45,Put,39.75,43.65,39.45,42.8,286950,5322650
63,23-09-2022 10:01,NIFTY,NFO,Options,29-Sep-22,Call,17000,502.8,513.65,497,513.65,3600,626150,46,Put,42.3,43.65,38.95,39.15,281300,5322650
64,23-09-2022 10:02,NIFTY,NFO,Options,29-Sep-22,Call,17000,520,527.15,513,527.15,8500,625350,47,Put,38.7,39.8,36.8,36.8,136900,5340300
65,23-09-2022 10:03,NIFTY,NFO,Options,29-Sep-22,Call,17000,527.6,532.4,527.6,530.25,2800,625350,48,Put,36.25,36.55,35.1,36.4,319400,5340300
66,23-09-2022 10:04,NIFTY,NFO,Options,29-Sep-22,Call,17000,526,526,515,515,9350,625350,49,Put,36.65,40.3,36.65,40.3,135500,5340300
67,23-09-2022 10:05,NIFTY,NFO,Options,29-Sep-22,Call,17000,511.35,522,508,522,6900,619750,50,Put,39.7,41.2,38,38.5,136700,5368700
68,23-09-2022 10:06,NIFTY,NFO,Options,29-Sep-22,Call,17000,520,525,519.95,519.95,5000,619750,51,Put,38.15,38.8,36.45,38.5,105050,5368700
69,23-09-2022 10:07,NIFTY,NFO,Options,29-Sep-22,Call,17000,520,520,514.4,517.65,3950,619750,52,Put,38.6,39.85,38,38.75,101800,5368700
70,23-09-2022 10:08,NIFTY,NFO,Options,29-Sep-22,Call,17000,516.6,522.2,513.15,520,750,621150,53,Put,38.75,39.75,37.15,38.75,78000,5411000
71,23-09-2022 10:09,NIFTY,NFO,Options,29-Sep-22,Call,17000,519,519,510,511.35,1400,621150,54,Put,38.6,41.3,38.6,40.45,161850,5411000
72,23-09-2022 10:10,NIFTY,NFO,Options,29-Sep-22,Call,17000,509.8,513.1,505,507.2,5500,621150,55,Put,41.05,42.05,39.85,41.2,159100,5411000
73,23-09-2022 10:11,NIFTY,NFO,Options,29-Sep-22,Call,17000,506.35,511.85,500.8,500.8,1050,625550,56,Put,41.65,42.75,40.45,42.75,193450,5450100
74,23-09-2022 10:12,NIFTY,NFO,Options,29-Sep-22,Call,17000,501.35,509.75,500,505,3600,625550,57,Put,42.35,42.4,40.7,41.8,113950,5450100
75,23-09-2022 10:13,NIFTY,NFO,Options,29-Sep-22,Call,17000,507.6,510,505,505.95,1800,625550,58,Put,41.75,42,40.55,42,127450,5450100
76,23-09-2022 10:14,NIFTY,NFO,Options,29-Sep-22,Call,17000,503,505,500.1,502.25,2400,629150,59,Put,42.35,42.9,42,42.5,116700,5490550
77,23-09-2022 10:15,NIFTY,NFO,Options,29-Sep-22,Call,17000,500,500,495.7,497.7,950,629150,60,Put,42.3,44.7,42.3,44.3,225750,5490550
78,23-09-2022 10:16,NIFTY,NFO,Options,29-Sep-22,Call,17000,499.8,501.55,495.75,496.65,1100,629150,61,Put,44.2,44.8,43.45,44.5,142800,5490550
79,23-09-2022 10:17,NIFTY,NFO,Options,29-Sep-22,Call,17000,496,496,475,475,14000,632200,62,Put,44.6,49.65,44.6,49.5,308300,5500050
80,23-09-2022 10:18,NIFTY,NFO,Options,29-Sep-22,Call,17000,475.95,480.55,469.8,469.8,6350,632200,63,Put,49.75,51.7,48.45,50.65,403700,5500050
81,23-09-2022 10:19,NIFTY,NFO,Options,29-Sep-22,Call,17000,472.1,477.75,469.6,476.8,13000,632200,64,Put,50.85,51.85,49.3,49.35,326800,5500050
82,23-09-2022 10:20,NIFTY,NFO,Options,29-Sep-22,Call,17000,474.65,483.15,470,483.15,2900,641950,65,Put,49.75,51.3,47.55,47.9,271000,5388800
83,23-09-2022 10:21,NIFTY,NFO,Options,29-Sep-22,Call,17000,483.3,490.65,478.75,490.65,4100,641950,66,Put,48.3,48.9,45,45,206800,5388800
84,23-09-2022 10:22,NIFTY,NFO,Options,29-Sep-22,Call,17000,491.3,497.35,488,495.6,3850,641950,67,Put,44.5,46,43.55,43.55,197000,5388800
85,23-09-2022 10:23,NIFTY,NFO,Options,29-Sep-22,Call,17000,494,495.6,491.5,491.5,1950,638200,68,Put,43.9,45.45,43.55,44.8,136350,5428850
86,23-09-2022 10:24,NIFTY,NFO,Options,29-Sep-22,Call,17000,491.05,503,490,500.25,11050,638200,69,Put,44.4,45.5,41.6,42.85,186800,5428850
87,23-09-2022 10:25,NIFTY,NFO,Options,29-Sep-22,Call,17000,500,503.25,491.5,503.25,1050,638200,70,Put,42.55,45.45,42.05,42.7,153450,5428850
88,23-09-2022 10:26,NIFTY,NFO,Options,29-Sep-22,Call,17000,503,505,500.15,505,2900,636500,71,Put,42.3,43,41.6,41.6,117250,5457100
89,23-09-2022 10:27,NIFTY,NFO,Options,29-Sep-22,Call,17000,505,510,502.9,506.05,4550,636500,72,Put,41.7,42.3,40.15,41.3,207600,5457100
90,23-09-2022 10:28,NIFTY,NFO,Options,29-Sep-22,Call,17000,509.15,509.2,500,500,2450,636500,73,Put,40.6,43.55,40.6,42.75,100500,5457100
91,23-09-2022 10:29,NIFTY,NFO,Options,29-Sep-22,Call,17000,500,503,497.55,498.2,2650,630050,74,Put,43.25,43.55,41.8,43.3,101150,5468800
92,23-09-2022 10:30,NIFTY,NFO,Options,29-Sep-22,Call,17000,498.2,498.2,488,490,4350,630050,75,Put,43.7,46,43.3,45.2,128650,5468800
93,23-09-2022 10:31,NIFTY,NFO,Options,29-Sep-22,Call,17000,491.05,498.1,489.35,498.1,1350,630050,76,Put,45.3,46,43.5,43.8,124200,5468800
94,23-09-2022 10:32,NIFTY,NFO,Options,29-Sep-22,Call,17000,500.15,507.55,500,503.95,2300,633400,77,Put,43.7,43.7,41.6,42.55,102150,5468700
95,23-09-2022 10:33,NIFTY,NFO,Options,29-Sep-22,Call,17000,501,502.6,495.15,502,1500,633400,78,Put,43.05,44.4,42.7,43.1,72550,5468700
96,23-09-2022 10:34,NIFTY,NFO,Options,29-Sep-22,Call,17000,495.15,510,495.15,509,2000,633400,79,Put,43.2,44.25,40.4,40.95,124050,5468700
97,23-09-2022 10:35,NIFTY,NFO,Options,29-Sep-22,Call,17000,509.1,515,505,515,2700,632450,80,Put,41.25,42.1,39.4,39.55,173300,5512600
98,23-09-2022 10:36,NIFTY,NFO,Options,29-Sep-22,Call,17000,517,520,516,517.65,9000,632450,81,Put,39.05,39.05,37.85,38,189600,5512600
99,23-09-2022 10:37,NIFTY,NFO,Options,29-Sep-22,Call,17000,520,520.4,511.45,511.45,1650,632450,82,Put,37.75,39.95,37.35,39.7,113850,5512600
100,23-09-2022 10:38,NIFTY,NFO,Options,29-Sep-22,Call,17000,510,510,504,505.55,4150,634150,83,Put,40.35,41.5,39.55,41.25,105900,5532050
101,23-09-2022 10:39,NIFTY,NFO,Options,29-Sep-22,Call,17000,505,505,503.95,503.95,1050,634150,84,Put,41.4,41.85,40.6,40.6,91100,5532050
